query_id,loai,query_id_doi_chieu,jaccard,text
12aa2415daa67ab4c04be1c30828a5b1,trung_id,,,"Bị thương tật 25%, cơ quan nhà nước có khởi tố không?"
1b9aefd60ed95e9a9ddf12ef0f9d5a13,trung_id,,,Tiêu chí xác định thương nhân áp dụng chế độ Luồng Đỏ được quy định như thế nào?
21f0d8fd1504da8348d2e79f7cac207e,trung_id,,,Đi trường giáo dưỡng được gọi điện thoại về nhà 5 phút/lần được quy định như thế nào?
2622f843e9dd0275abd18c2b1d011ecf,trung_id,,,Trách nhiệm của Chủ dự án sau khi báo cáo ĐTM được phê duyệt được quy định như thế nào?
2d11a5d8d49ee73b02d751230f18ee8f,trung_id,,,"Hoạt động kinh doanh của doanh nghiệp, hợp tác xã sau khi có quyết định mở thủ tục phá sản được quy định ra sao?"
319bd4ad7cef3c1b8256de04d5a66f60,trung_id,,,Đang tạm giam có được khi không phải người thân không?
44bbef50d5bed5148bae1b6a11d0f80a,trung_id,,,Ai được quyền làm và ký đơn khởi kiện trong vụ án hành chính?
5cf2eb257073be4a8e172b977441e4de,trung_id,,,Cha mẹ ép con vào học ở trường Luật thì có vi phạm pháp luật không?
5d6438f0316a1f790d2eabaae5f150bb,trung_id,,,"Quyền, nghĩa vụ của nhà đầu tư tham gia vào quỹ đầu tư chứng khoán quy định như thế nào?"
5ed912c928f7db87750e187548384f53,trung_id,,,Nhiệm vụ của Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp tỉnh được quy định như thế nào?
607143aae400d0f697a45b8ab7de9c9c,trung_id,,,"Xây dựng tiêu chí, công nhận tổ chức, cá nhân thuộc mạng lưới tư vấn viên hỗ trợ doanh nghiệp nhỏ và vừa được quy định như thế nào?"
613f67fcbba0f17381b95cc3ed7485de,trung_id,,,CSGT có được trưng dụng phương tiện giao thông của cá nhân để sử dụng hay không?
808d9b40858bba05be7a191b182be2ef,trung_id,,,Không đăng ký tạm trú cho khách nước ngoài phạt bao nhiêu tiền?
914c93622bc33053f1f3a5baa51bda75,trung_id,,,Trợ cấp phục viên một lần được tính như thế nào?
93a095b3bb5671b1c718b1c7b9d21a16,trung_id,,,Tổ chức lựa chọn nhà thầu và bàn giao mặt bằng thi công nạo vét duy tu luồng đường thủy nội địa được quy định như thế nào?
9a6236defce2934e46a85e5d4c0e663b,trung_id,,,Đấu thầu hạn chế trong lựa chọn nhà cung cấp thuốc được quy định như thế nào?
a0bc8ef92770b546ed517bd5e1d181eb,trung_id,,,"Loại trừ yếu tố khách quan khi xác định quỹ tiền lương, thù lao trong doanh nghiệp nhà nước được quy định như thế nào?"
b0e6fc3409181748c81fa69b8ba62dd1,trung_id,,,Con cháu hai bên thông gia có được kết hôn với nhau?
bb3548780bc9920ebcfad7db819017b8,trung_id,,,Xây dựng trang trại nuôi lợn quy mô nhỏ cách chợ 100 m có đúng quy định không?
d67f16bc029a9bc3910b3ba155e2c6e8,trung_id,,,Xây dựng Hồ sơ kết quả pháp điển hệ thống quy phạm pháp luật gửi thẩm định được quy định như thế nào?
d6e0c0d173c29804a3f36f20186f5690,trung_id,,,Người cao tuổi có được bổ nhiệm Thừa phát lại hay không?
e078a9feaf0bd810306fe5a620bb4d68,trung_id,,,Ca sĩ ăn mặc phản cảm biểu diễn trên sân khấu bị xử phạt thế nào?
f781aba8f899d9e55def28224dd1bc9b,trung_id,,,Đốt vàng mã có bị cấm không và mức xử lý đối với hành vi này?
fc54dafdc0dfbc12b9bd69d5ad27c710,trung_id,,,Hội đồng thẩm định đề án đóng cửa mỏ khoáng sản là tổ chức như thế nào?
a5ef5123a9aadb417bb06e13bb84384e,gan_trung,86af015edac51aced5689fbe0bd45e08,0.8182,"Thu hồi tài liệu, vật mang bí mật nhà nước ngành tài nguyên môi trường được quy định như thế nào?"
d935623972a629a8b744b615b307f1da,gan_trung,9bbd87cb08d9403c9c80043f62793781,0.8462,"Phương thức giao nhiệm vụ, đặt hàng, đấu thầu cung cấp sản phẩm, dịch vụ công được quy định như thế nào?"
