query_id,gold_train,gold_test,giong_nhau,text
12aa2415daa67ab4c04be1c30828a5b1,12/2017/qh14+1,101/2015/qh13+155,False,"Bị thương tật 25%, cơ quan nhà nước có khởi tố không?"
1b9aefd60ed95e9a9ddf12ef0f9d5a13,31/2018/nđ-cp+29,15/2018/tt-bct+6,False,Tiêu chí xác định thương nhân áp dụng chế độ Luồng Đỏ được quy định như thế nào?
21f0d8fd1504da8348d2e79f7cac207e,43/2015/tt-bca+2,43/2015/tt-bca+12,False,Đi trường giáo dưỡng được gọi điện thoại về nhà 5 phút/lần được quy định như thế nào?
2622f843e9dd0275abd18c2b1d011ecf,18/2016/tt-bnnptnt+17,18/2015/nđ-cp+16 18/2015/nđ-cp+17,False,Trách nhiệm của Chủ dự án sau khi báo cáo ĐTM được phê duyệt được quy định như thế nào?
2d11a5d8d49ee73b02d751230f18ee8f,51/2014/qh13+48,51/2014/qh13+47,False,"Hoạt động kinh doanh của doanh nghiệp, hợp tác xã sau khi có quyết định mở thủ tục phá sản được quy định ra sao?"
319bd4ad7cef3c1b8256de04d5a66f60,94/2015/qh13+22,94/2015/qh13+3,False,Đang tạm giam có được khi không phải người thân không?
44bbef50d5bed5148bae1b6a11d0f80a,93/2015/qh13+123,93/2015/qh13+117,False,Ai được quyền làm và ký đơn khởi kiện trong vụ án hành chính?
5cf2eb257073be4a8e172b977441e4de,52/2014/qh13+70,52/2014/qh13+72,False,Cha mẹ ép con vào học ở trường Luật thì có vi phạm pháp luật không?
5d6438f0316a1f790d2eabaae5f150bb,98/2020/tt-btc+16,98/2020/tt-btc+9,False,"Quyền, nghĩa vụ của nhà đầu tư tham gia vào quỹ đầu tư chứng khoán quy định như thế nào?"
5ed912c928f7db87750e187548384f53,104/2016/nđ-cp+6,24/2018/tt-byt+3,False,Nhiệm vụ của Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp tỉnh được quy định như thế nào?
607143aae400d0f697a45b8ab7de9c9c,06/2019/tt-bkhđt+4,39/2018/nđ-cp+13,False,"Xây dựng tiêu chí, công nhận tổ chức, cá nhân thuộc mạng lưới tư vấn viên hỗ trợ doanh nghiệp nhỏ và vừa được quy định như thế nào?"
613f67fcbba0f17381b95cc3ed7485de,01/2016/tt-bca+5,65/2020/tt-bca+8,False,CSGT có được trưng dụng phương tiện giao thông của cá nhân để sử dụng hay không?
808d9b40858bba05be7a191b182be2ef,167/2013/nđ-cp+17,47/2014/qh13+33,False,Không đăng ký tạm trú cho khách nước ngoài phạt bao nhiêu tiền?
914c93622bc33053f1f3a5baa51bda75,151/2016/nđ-cp+4,162/2017/tt-bqp+6,False,Trợ cấp phục viên một lần được tính như thế nào?
93a095b3bb5671b1c718b1c7b9d21a16,159/2018/nđ-cp+17 159/2018/nđ-cp+18,33/2019/tt-bgtvt+6,False,Tổ chức lựa chọn nhà thầu và bàn giao mặt bằng thi công nạo vét duy tu luồng đường thủy nội địa được quy định như thế nào?
9a6236defce2934e46a85e5d4c0e663b,15/2019/tt-byt+20,63/2014/nđ-cp+77,False,Đấu thầu hạn chế trong lựa chọn nhà cung cấp thuốc được quy định như thế nào?
a0bc8ef92770b546ed517bd5e1d181eb,27/2016/tt-blđtbxh+13,31/2016/tt-blđtbxh+8,False,"Loại trừ yếu tố khách quan khi xác định quỹ tiền lương, thù lao trong doanh nghiệp nhà nước được quy định như thế nào?"
b0e6fc3409181748c81fa69b8ba62dd1,52/2014/qh13+5,52/2014/qh13+8,False,Con cháu hai bên thông gia có được kết hôn với nhau?
bb3548780bc9920ebcfad7db819017b8,13/2020/nđ-cp+21,23/2019/tt-bnnptnt+5,False,Xây dựng trang trại nuôi lợn quy mô nhỏ cách chợ 100 m có đúng quy định không?
d67f16bc029a9bc3910b3ba155e2c6e8,13/2014/tt-btp+8,63/2013/nđ-cp+14,False,Xây dựng Hồ sơ kết quả pháp điển hệ thống quy phạm pháp luật gửi thẩm định được quy định như thế nào?
d6e0c0d173c29804a3f36f20186f5690,08/2020/nđ-cp+6,39/2009/qh12+2,False,Người cao tuổi có được bổ nhiệm Thừa phát lại hay không?
e078a9feaf0bd810306fe5a620bb4d68,158/2013/nđ-cp+13,28/2017/nđ-cp+2,False,Ca sĩ ăn mặc phản cảm biểu diễn trên sân khấu bị xử phạt thế nào?
f781aba8f899d9e55def28224dd1bc9b,158/2013/nđ-cp+15,28/2017/nđ-cp+2,False,Đốt vàng mã có bị cấm không và mức xử lý đối với hành vi này?
fc54dafdc0dfbc12b9bd69d5ad27c710,158/2016/nđ-cp+45,25/2017/tt-btnmt+3,False,Hội đồng thẩm định đề án đóng cửa mỏ khoáng sản là tổ chức như thế nào?
