query_id,so_dong,so_noi_dung_khac_nhau,text
09d3ddd919d24b4bdee22aef4a85ed39,2,1,Bán cổ phần doanh nghiệp nhà nước tái cơ cấu lần đầu được quy định như thế nào?
1009c980f6afe2e271de24e7a79126f6,2,1,Người bị mất năng lực hành vi dân sự có được mở tài khoản ngân hàng không?
12aa2415daa67ab4c04be1c30828a5b1,2,1,"Bị thương tật 25%, cơ quan nhà nước có khởi tố không?"
12f6f4d5319c4f664fff7f84ba4584bd,2,1,Có được yêu cầu mở thủ tục phá sản khi công ty nợ tiền thi công công trình 3 tháng không?
14b3b09fc368317699a66890364bb403,2,1,“Huân chương Chiến công” hạng nhất thì nhận được bao nhiêu tiền thưởng?
17dc5678938a81cb2ee3a54145a8f80b,3,1,"Trình thẩm định, phê duyệt chương trình quản lý tổng hợp tài nguyên vùng bờ được quy định như thế nào?"
18d80921443cd0d5544d755b4bce4e24,2,1,Bác sĩ y khoa thực hành tại cơ sở y tế có được kê đơn thuốc không?
1a6404b7ee86e9178fc6f5e81895e705,2,1,Có phải bồi thường khi gây tai nạn giao thông mà không phải lỗi của mình?
1b9aefd60ed95e9a9ddf12ef0f9d5a13,2,1,Tiêu chí xác định thương nhân áp dụng chế độ Luồng Đỏ được quy định như thế nào?
21f0d8fd1504da8348d2e79f7cac207e,2,1,Đi trường giáo dưỡng được gọi điện thoại về nhà 5 phút/lần được quy định như thế nào?
228814f4ead054bfeade6b1f524eb5a4,2,1,Vợ của Chủ tịch Hội đồng thành viên công ty TNHH hai thành viên có được làm kế toán trưởng công ty đó không?
2622f843e9dd0275abd18c2b1d011ecf,3,1,Trách nhiệm của Chủ dự án sau khi báo cáo ĐTM được phê duyệt được quy định như thế nào?
2becca92153b860b4688828c81af1535,3,1,Cựu thanh niên xung phong được hưởng chế độ BHYT như thế nào?
2d11a5d8d49ee73b02d751230f18ee8f,2,1,"Hoạt động kinh doanh của doanh nghiệp, hợp tác xã sau khi có quyết định mở thủ tục phá sản được quy định ra sao?"
2d460fcf8668c3e314fd05d54373e118,2,1,Nhập khẩu máy in có phải xin giấy phép của Bộ Thông tin và Truyền thông không?
2deb73d41a59d754d751957ab6daee8d,2,1,Công an hiệu được quy định như thế nào theo quy định mới?
317ffbf2a21a5a1154b51e0630cf0ba8,2,1,Đại diện chủ sở hữu nhà nước có trách nhiệm gì đối với tài sản là kết quả của nhiệm vụ khoa học và công nghệ?
319bd4ad7cef3c1b8256de04d5a66f60,2,1,Đang tạm giam có được khi không phải người thân không?
3283a1739d905c9b9fbb89680fa43b20,2,1,Quy định về việc quản lý và sử dụng phí đối với nước thải sinh hoạt được quy định như thế nào?
37e70254f575bf83e1e37b8ba43579d7,2,1,Thời hạn gửi báo cáo định kỳ của Ngân hàng Nhà nước được quy định là bao lâu?
38b662b6921928ff5b8de4897b30e978,2,1,Thời gian tối đa giải quyết việc cấp Chứng minh nhân dân là bao lâu?
39d927fb154ca4bac1982f0b18ee6a8a,2,1,"Quản lý và sử dụng các khoản phí, lệ phí trong lĩnh vực ngoại giao được quy định như thế nào?"
3aed91309b72097b34427dd28bebd98a,2,1,Tử tù chết sau khi tiêm thuốc độc mà không có thân nhân nhận xác thì được hỗ trợ mai táng như thế nào?
3e1d2700a2d01d9f1badc61019c673cf,2,1,"Việc quản lý cơ sở dữ liệu về sự cố, tai nạn giao thông đường sắt được quy định như thế nào?"
3e891a11725a39dfd5175ab9dbf94e44,2,1,Mang quân hàm nào thì được xử lý vi phạm hành chính về giao thông đường bộ?
40cab1efe982443c9e3404fcf28bacec,2,1,Được tặng cho phần vốn góp công ty TNHH thì người được tặng cho có trở thành thành viên công ty không?
44bbef50d5bed5148bae1b6a11d0f80a,2,1,Ai được quyền làm và ký đơn khởi kiện trong vụ án hành chính?
460023e79a17c9211210281670e1b834,2,1,Người trực cháy và người được huy động chữa cháy hưởng lương từ ngân sách nhà nước được hưởng mức chi như thế nào?
4733948d433d1328cd832d1d26a8277b,2,1,Tiêu chuẩn của công chức thanh tra chuyên ngành thông tin và truyền thông được quy định như thế nào?
4a72ff7d63653568fb910b8cf69ec3a3,2,1,Phạt tiền nếu không thực hiện đúng về trưng bày thuốc lá?
4dde68e29a481a64d17630e7d3691f73,2,1,Thanh niên xung phong có nhiệm vụ gì?
4e3c015b2bd9c6586f342acbbe8c234a,2,1,Công ty bảo hiểm có được yêu cầu công an cung cấp tài liệu tai nạn liên quan đến khách hàng?
54c6cf2330f1742b4fffe4f3534cf5e4,2,1,Mức phạt đối với hành vi mở tiệm game bắn cá thâu đêm?
59e1e2625b046d07a46287c6abf3ab25,2,1,"Thống kê, lưu giữ, bảo quản, sử dụng tài liệu, vật mang bí mật nhà nước ngành tài nguyên môi trường được quy định như thế nào?"
5b05bb746c7b8913aaab1e166ee7270e,2,1,Làm việc trên tàu cá quên mang CMND có bị phạt không?
